Title;Genre;Premiere;Runtime;IMDB Score;Language;Unnamed: 6;Unnamed: 7;actual;predicted
Enter the Anime;Documentary;August 5, 2019;58;2.5;English/Japanese;;;1;0
Dark Forces;Thriller;August 21, 2020;81;2.6;Spanish;;;0;1
The App;Science fiction/Drama;December 26, 2019;79;2.6;Italian;;;1;1
The Open House;Horror thriller;January 19, 2018;94;3.2;English;;;0;0
Kaali Khuhi;Mystery;October 30, 2020;90;3.4;Hindi;;;0;0
Drive;Action;November 1, 2019;147;3.5;Hindi;;;0;1
Leyla Everlasting;Comedy;December 4, 2020;112;3.7;Turkish;;;0;1
The Last Days of American Crime;Heist film/Thriller;June 5, 2020;149;3.7;English;;;1;0
Paradox;Musical/Western/Fantasy;March 23, 2018;73;3.9;English;;;1;0
Sardar Ka Grandson;Comedy;May 18, 2021;139;4.1;Hindi;;;1;0
Searching for Sheela;Documentary;April 22, 2021;58;4.1;English;;;0;1
The Call;Drama;November 27, 2020;112;4.1;Korean;;;0;1
Whipped;Romantic comedy;September 18, 2020;97;4.1;Indonesian;;;1;0
All Because of You;Action comedy;October 1, 2020;101;4.2;Malay;;;0;0
Mercy;Thriller;November 22, 2016;90;4.2;English;;;1;1
After the Raid;Documentary;December 19, 2019;25;4.3;Spanish;;;1;1
Ghost Stories;Horror anthology;January 1, 2020;144;4.3;Hindi;;;0;0
The Last Thing He Wanted;Political thriller;February 21, 2020;115;4.3;English;;;1;1
What Happened to Mr. Cha?;Comedy;January 1, 2021;102;4.3;Korean;;;1;0
Death Note;Horror thriller;August 25, 2017;100;4.4;English;;;1;0
Hello Privilege. It's Me; Chelsea;Documentary;September 13, 2019;64;4.4;English;;1;0
Secret Obsession;Thriller;July 18, 2019;97;4.4;English;;;0;0
Sextuplets;Comedy;August 16, 2019;99;4.4;English;;;0;1
The Girl on the Train;Thriller;February 26, 2021;120;4.4;Hindi;;;1;1
Thunder Force;Superhero-Comedy;April 9, 2021;105;4.4;English;;;1;0
Fatal Affair;Thriller;July 16, 2020;89;4.5;English;;;1;1
Just Say Yes;Romantic comedy;April 2, 2021;97;4.5;Dutch;;;1;0
Seriously Single;Comedy;July 31, 2020;107;4.5;English;;;1;1
The Misadventures of Hedi and Cokeman;Comedy;February 10, 2021;99;4.5;French;;;0;0
5 Star Christmas;Comedy;December 7, 2018;95;4.6;Italian;;;1;1
After Maria;Documentary;May 24, 2019;37;4.6;English/Spanish;;;0;0
I Am the Pretty Thing That Lives in the House;Horror;October 28, 2016;89;4.6;English;;;1;0
Paris Is Us;Romance drama;February 22, 2019;83;4.6;French;;;1;0
Porta dos Fundos: The First Temptation of Christ;Comedy;December 3, 2019;46;4.6;Portuguese;;;1;1
Rattlesnake;Horror;October 25, 2019;85;4.6;English;;;1;1
The Players;Comedy;July 15, 2020;88;4.6;Italian;;;0;0
We Are One;Documentary;July 14, 2020;86;4.6;French;;;1;1
Finding Agnes;Drama;November 30, 2020;105;4.7;Filipino;;;0;1
IO;Science fiction/Drama;January 18, 2019;95;4.7;English;;;1;0
Sentinelle;Action;March 5, 2021;80;4.7;French;;;0;1
Sol Levante;Anime / Short;April 2, 2020;4;4.7;English;;;1;1
The Binding;Drama;October 2, 2020;93;4.7;Italian;;;1;1
We Can Be Heroes;Superhero;December 25, 2020;100;4.7;English;;;0;1
Christmas Crossfire;Thriller;December 4, 2020;106;4.8;German;;;0;0
Coin Heist;Heist;January 6, 2017;97;4.8;English;;;1;1
Mrs. Serial Killer;Thriller;May 1, 2020;106;4.8;Hindi;;;0;1
Nobody Sleeps in the Woods Tonight;Horror;October 28, 2020;103;4.8;Polish;;;0;1
Take the 10;Comedy;January 20, 2017;80;4.8;English;;;1;1
The Main Event;Comedy;April 10, 2020;101;4.8;English;;;0;0
The Ridiculous 6;Western;December 11, 2015;119;4.8;English;;;1;0
Earth and Blood;Action;April 17, 2020;80;4.9;French;;;0;0
Fearless;Animation/Superhero;August 14, 2020;89;4.9;English;;;0;0
Holiday Rush;Family film;November 28, 2019;94;4.9;English;;;1;1
The Day of the Lord;Drama;October 30, 2020;93;4.9;Spanish;;;0;1
Airplane Mode;Comedy;January 23, 2020;96;5;Portuguese;;;1;0
How It Ends;Action-thriller;July 13, 2018;113;5;English;;;1;0
Love Like the Falling Rain;Drama;October 15, 2020;86;5;Indonesian;;;0;0
Rebirth;Thriller;July 15, 2016;100;5;English;;;1;0
Squared Love;Romantic comedy;February 11, 2021;102;5;Polish;;;1;0
Cadaver;Horror;October 22, 2020;86;5.1;Norwegian;;;0;1
Clinical;Thriller;January 13, 2017;104;5.1;English;;;0;0
Coffee & Kareem;Action comedy;April 3, 2020;88;5.1;English;;;0;0
Dude;Teen comedy-drama;April 20, 2018;97;5.1;English;;;0;1
Geez & Ann;Romantic drama;February 25, 2021;105;5.1;Indonesian;;;1;1
The Larva Island Movie;Animation;July 23, 2020;90;5.1;English;;;0;0
#REALITYHIGH;Comedy;September 8, 2017;99;5.2;English;;;0;1
American Factory: A Conversation with the Obamas ;Aftershow / Interview;August 21, 2019;10;5.2;English;;;1;0
Desperados;Romantic comedy;July 3, 2020;106;5.2;English;;;1;0
Dolly Parton's Christmas on the Square;Christmas musical;November 22, 2020;98;5.2;English;;;0;1
Father of the Year;Comedy;July 20, 2018;94;5.2;English;;;0;0
Firebrand;Drama;February 22, 2019;112;5.2;Marathi;;;0;0
Ghost Lab;Horror;May 26, 2021;117;5.2;Thai;;;0;1
Girlfriend's Day;Comedy;February 14, 2017;70;5.2;English;;;0;1
Handsome: A Netflix Mystery Movie;Comedy;May 5, 2017;81;5.2;English;;;0;0
Hubie Halloween;Comedy;October 7, 2020;103;5.2;English;;;1;0
Ibiza;Comedy;May 25, 2018;94;5.2;English;;;0;0
Rim of the World;Science fiction adventure;May 24, 2019;98;5.2;English;;;0;0
Sandy Wexler;Comedy;April 14, 2017;131;5.2;English;;;0;0
See You Yesterday;Science fiction;May 17, 2019;87;5.2;English;;;0;0
Still Laugh-In: The Stars Celebrate;Variety show;May 14, 2019;60;5.2;English;;;0;1
Strip Down; Rise Up;Documentary;February 5, 2021;112;5.2;English;;1;0
Tall Girl;Comedy-drama;September 13, 2019;102;5.2;English;;;1;1
The Beast;Drama;November 27, 2020;99;5.2;Italian;;;1;0
The Week Of;Comedy;April 27, 2018;116;5.2;English;;;1;1
A Christmas Prince: The Royal Wedding;Romantic comedy;November 30, 2018;92;5.3;English;;;0;1
Back to School;Comedy;August 30, 2019;83;5.3;French;;;0;0
Dangerous Lies;Thriller;April 30, 2020;97;5.3;English;;;1;1
Gunjan Saxena: The Kargil Girl;Drama;August 12, 2020;112;5.3;Hindi;;;1;1
Intuition;Thriller;May 28, 2020;116;5.3;Spanish;;;0;0
The Most Assassinated Woman in the World;Thriller;September 7, 2018;102;5.3;French;;;1;1
Things Heard & Seen;Horror;April 29, 2021;121;5.3;English;;;1;1
To Each; Her Own;Romantic comedy;June 24, 2018;95;5.3;French;;0;0
Who Would You Take to a Deserted Island?;Drama;April 12, 2019;93;5.3;Spanish;;;1;0
XOXO;Drama;August 26, 2016;92;5.3;English;;;0;0
A Babysitter's Guide to Monster Hunting;Comedy/Fantasy/Family;October 15, 2020;98;5.4;English;;;0;0
A Christmas Prince: The Royal Baby;Romantic comedy;December 5, 2019;85;5.4;English;;;1;0
Despite Everything;Comedy;May 3, 2019;78;5.4;Spanish;;;1;0
